"age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
51;614,7884032;649,0956484;646,9674659;638,9867817;631,0060975;633,5628182;636,1195389;629,1154793;559,7774434;620,6607882;620,2114277;618,2997283;617,6317164;631,8149666;633,5186373;659,035169;664,7692495
52;661,2293737;696,5880818;694,3041865;685,7395789;677,1749713;682,4939825;687,8129936;680,963287;603,8113683;668,9015192;668,4511013;669,0358277;671,7530336;687,2866203;687,1559688;706,344046;710,634156
53;710,4815995;747,713525;745,2620053;736,0688062;726,8756071;735,3957877;743,9159684;737,0800343;651,6370959;720,7835691;720,7641006;723,102901;730,3378757;748,6980905;747,5424184;768,246122;767,2998799
54;762,8645071;802,57542;799,9440252;790,0762946;780,208564;792,4816277;804,7546915;797,8442179;703,5600668;776,1161498;777,4810746;782,2456979;794,0334961;817,0055227;814,5129151;841,3375928;831,0945028
55;819,508957;862,0577259;859,2313072;848,6322368;838,0331664;854,4097666;870,7863669;863,724036;760,0568412;836,7132072;839,6022334;847,4210021;863,6915424;891,7139135;887,4192624;919,9981435;899,5991578
56;881,738071;926,1134238;923,0769863;911,6903459;900,3037054;921,3931224;942,4825393;935,1305104;821,5491101;905,5892653;908,7918476;920,2773882;939,8814256;972,1648988;965,7287459;1003,077718;972,4935938
57;950,2754786;996,3944515;993,1275844;980,876833;968,6260815;994,4068423;1020,187603;1012,546768;888,3755725;980,529538;985,6973367;1001,429081;1023,435836;1058,174011;1049,8742;1094,170483;1059,296485
58;1026,43976;1075,706282;1072,179377;1058,95348;1045,727583;1075,001251;1104,27492;1096,519571;961,0164237;1062,449222;1070,469691;1090,591416;1114,364829;1149,631741;1139,812674;1195,417369;1158,667992
59;1110,853116;1165,810566;1161,988236;1147,6545;1133,320763;1164,168092;1195,015421;1187,470314;1039,692647;1148,638763;1162,364041;1186,608759;1212,812381;1247,808218;1236,099397;1298,379148;1260,837758
60;1203,376269;1266,594456;1262,441688;1246,868805;1231,295922;1262,053273;1292,810623;1285,80178;1124,676599;1234,995696;1260,978213;1288,869523;1318,728173;1353,573762;1339,213178;1397,107063;1358,995248
61;1302,454478;1377,098763;1372,583685;1355,652143;1338,720601;1368,330167;1397,939733;1391,7274;1216,16751;1291,076378;1366,168124;1396,503255;1431,046294;1467,422405;1450,413269;1499,743054;1458,060457
62;1406,64805;1495,555569;1490,652108;1472,26413;1453,876151;1482,053749;1510,231346;1505,036226;1314,170557;1395,115845;1478,927117;1510,415914;1549,022497;1588,589516;1570,124639;1621,48601;1568,516929
63;1515,551271;1621,290932;1615,975224;1596,041319;1576,107415;1602,707881;1629,308347;1625,370273;1418,558806;1505,933805;1599,312219;1631,459873;1673,207902;1718,28359;1698,203256;1759,09121;1692,208119
64;1628,855309;1753,314318;1747,565746;1726,008603;1704,45146;1729,536359;1754,621258;1751,953588;1528,909986;1623,081978;1727,912321;1761,426902;1803,614993;1855,255317;1833,214119;1902,399536;1819,173016
65;1746,243767;1889,886018;1883,689671;1860,453367;1837,217064;1861,129473;1885,041881;1883,596841;1644,574966;1745,87125;1864,508593;1899,11724;1939,78009;1997,16842;1974,25416;2044,230685;1947,69735
66;1867,306386;2028,526559;2021,875653;1996,934752;1971,993852;1995,590589;2019,187325;2018,977387;1764,661873;1873,354815;2007,710498;2043,539535;2081,389606;2143,329257;2120,806757;2184,605957;2075,587654
67;1990,503561;2167,565196;2160,458425;2133,808033;2107,157641;2131,441864;2155,726086;2156,862404;1888,195793;2004,497707;2155,618695;2193,722679;2228,455246;2293,36767;2272,779777;2326,894396;2212,949103
68;2114,643876;2306,030199;2298,469444;2270,116614;2241,763784;2267,63194;2293,500097;2296,095133;2014,328216;2138,399157;2306,211931;2346,928087;2380,593459;2449,173817;2430,553001;2477,348531;2364,702737
69;2237,936425;2443,394955;2435,383824;2405,342083;2375,300342;2403,394435;2431,488527;2435,648067;2142,250065;2274,20025;2459,59523;2503,999565;2537,601429;2611,815928;2594,608297;2640,058162;2536,668375
70;2358,210318;2578,957312;2570,501714;2538,793223;2507,084731;2537,923297;2568,761862;2574,623978;2271,206247;2411,099386;2615,58408;2665,524402;2698,47517;2780,96946;2764,553496;2819,546628;2722,696882
